name	abbreviation	equation	lowbnd	uppbnd	Present	obj_coef	rule	Knockout cost	Knockin cost	ProteinClass	subSystem
fumarate reductase	FRD	[c] : fadh2 + fum --> fad + succ	0	Inf	1	0	Gmet_2395_OR_Gmet_2396_OR_Gmet_2397	1	1	Frd	Central Metabolism
succinate dehydrogenase (menaquinone 7)	FRD5	[c] : mqn7 + succ <==> fum + mql7	-Inf	Inf	1	0	Gmet_2395_OR_Gmet_2396_OR_Gmet_2397	1	1	Frd	Central Metabolism
farnesyltranstransferase	FRTT	[c] : frdp + ipdp --> ggdp + ppi	0	Inf	1	0	Gmet_2455	1	1	IspB	Lipid & Cell Wall Metabolism
5-formyltetrahydrofolate cyclo-ligase	FTHFCL	[c] : 5fothf + atp --> adp + methf + pi	0	Inf	1	0	Gmet_1179	1	1	Ftcl	Vitamins & Cofactor Biosynthesis
fumarase	FUM	[c] : fum + h2o <==> mal-L	-Inf	Inf	1	0	Gmet_2570	1	1	Fum1	Central Metabolism
glucosamine-1-phosphate N-acetyltransferase	G1PACT	[c] : accoa + gam1p --> acgam1p + coa + h	0	Inf	1	0	Gmet_0103	1	1	GlmU	Carbohydrate Metabolism
glucose-1-phosphate thymidylyltransferase	G1PTMT	[c] : dttp + g1p + h --> dtdpglc + ppi	0	Inf	1	0	Gmet_0924	1	1	RfbA	Nucleotide Metabolism
glutamate-1-semialdehyde aminotransferase	G1SAT	[c] : glu1sa <==> 5aop	-Inf	Inf	1	0	Gmet_3356	1	1	HemL	Vitamins & Cofactor Biosynthesis
glycerol-3-phosphate dehydrogenase (NAD)	G3PD1	[c] : glyc3p + nad <==> dhap + h + nadh	-Inf	Inf	1	0	Gmet_0008	1	1	GpsA	Central Metabolism
glycerol-3-phosphate dehydrogenase (NADP)	G3PD2	[c] : glyc3p + nadp <==> dhap + h + nadph	-Inf	Inf	1	0	Gmet_0008	1	1	GpsA	Central Metabolism
glycerol-3-phosphate dehydrogenase (menaquinone 7)	G3PD4	[c] : glyc3p + mqn7 --> dhap + mql7	0	Inf	1	0	Gmet_1677	1	1	GlpA	Central Metabolism
L-glutamate 5-semialdehyde dehydratase (spontaneous)	G5SADs	[c] : glu5sa <==> 1pyr5c + h + h2o	-Inf	Inf	1	0		1	1		Carbohydrate Metabolism
glutamate-5-semialdehyde dehydrogenase	G5SD	[c] : glu5p + h + nadph --> glu5sa + nadp + pi	0	Inf	1	0	Gmet_3199	1	1	ProA	Amino Acid Metabolism
glucose 6-phosphate dehydrogenase	G6PDHy	[c] : g6p + nadp <==> 6pgl + h + nadph	-Inf	Inf	1	0	Gmet_2619	1	1	Zwf	Pentose Phosphate Pathway
galactose-1-phosphate uridylyltransferase	GALT	[c] : gal1p + h + utp <==> ppi + udpgal	-Inf	Inf	1	0	Gmet_3176	1	1	GalT	Carbohydrate Metabolism
UTP-glucose-1-phosphate uridylyltransferase	GALU	[c] : g1p + h + utp <==> ppi + udpg	-Inf	Inf	1	0	Gmet_1159	1	1	GalU	Lipid & Cell Wall Metabolism
galacturonate transport in via proton symport	GALURt2	galur[e] + h[e] --> galur[c] + h[c]	0	Inf	1	0	Gmet_3221	1	1	ExuT	Transport
glyceraldehyde-3-phosphate dehydrogenase (NAD)	GAPD	[c] : g3p + nad + pi <==> 13dpg + h + nadh	-Inf	Inf	1	0	Gmet_1211, Gmet_1946	1	1	Gap2, Gap	Central Metabolism
phosphoribosylglycinamide formyltransferase	GARFT	[c] : 10fthf + gar <==> fgam + h + thf	-Inf	Inf	1	0	Gmet_1845	1	1	PurN	Nucleotide Metabolism
Phosphoribosylglycinamide formyltransferase 2	GART	[c] : atp + for + gar --> adp + fgam + h + pi	0	Inf	1	0	Gmet_3193	1	1	PurT	Purine and Pyrimidine Biosynthesis
part of glycine-cleavage complex	GCCa	[c] : gly + h + lpro --> alpro + co2	0	Inf	1	0	Gmet_3154_AND_ Gmet_3152_OR_Gmet_3153_AND_ Gmet_0985	1	1	GcvH1+GcvP1, GcvH2+GcvP1	Folate Metabolism
part of glycine cleavage complex	GCCb	[c] : alpro + thf --> dhlpro + mlthf + nh4	0	Inf	1	0	Gmet_3155	1	1	GcvT	Amino Acid Metabolism
part of glycine-cleavage complex	GCCc	[c] : dhlpro + nad --> h + lpro + nadh	0	Inf	1	0	Gmet_2764, Gmet_1896	1	1	Lpd2, Lpd	Amino Acid Metabolism
glutaryl-CoA dehydrogenase	GCOAD	[c] : glutcoa + nadp --> b2coa + co2 + nadph	0	Inf	1	0	Gmet_2075	1	1	BamM	Aromatic Compound degradation
GDP-4-dehydro-6-deoxy-D-mannose epimerase	GDMANE	[c] : gdpddm <==> gdpofuc	-Inf	Inf	1	0	Gmet_1312	1	1	Fcl	Lipid & Cell Wall Metabolism
GDPmannose 4,6-dehydratase	GDPMD	[c] : gdpman --> gdpddm + h2o	0	Inf	1	0	Gmet_1311, Gmet_1488	1	1	Gmd1, Gmd	Lipid & Cell Wall Metabolism
glutamine-fructose-6-phosphate transaminase	GF6PTA	[c] : f6p + gln-L --> gam6p + glu-L	0	Inf	1	0	Gmet_0104, Gmet_1487	1	1	GlmS1, GlmS	Lipid & Cell Wall Metabolism
geranylgeranyltranstransferase	GGTT	[c] : ggdp + ipdp --> pendp + ppi	0	Inf	1	0	Gmet_2455	1	1	IspB	Other
glycine hydroxymethyltransferase	GHMT	[c] : ser-L + thf <==> gly + h2o + mlthf	-Inf	Inf	1	0	Gmet_1605	1	1	GlyA	Amino Acid Metabolism
guanylate kinase (GMP:ATP)	GK1	[c] : atp + gmp <==> adp + gdp	-Inf	Inf	1	0	Gmet_2327	1	1	Gmk	Nucleotide Metabolism
glycogen phosphorylase	GLCP	[c] : glycogen + pi --> g1p	0	Inf	1	0	Gmet_3159, Gmet_0940	1	1	GlgP2, GlgP	Carbohydrate Metabolism
glycogen synthase (ADPGlc)	GLCS1	[c] : adpglc --> adp + glycogen + h	0	Inf	1	0	Gmet_0707, Gmet_3175	1	1	GlgA2, GlgA1	Carbohydrate Metabolism
glucuronate transport in via proton symport	GLCURt2	glcur[e] + h[e] --> glcur[c] + h[c]	0	Inf	1	0	Gmet_3221	1	1	ExuT	Transport
glucose-1-phosphate adenylyltransferase	GLGC	[c] : atp + g1p + h --> adpglc + ppi	0	Inf	1	0	Gmet_2768	1	1	GlgC	Glycolysis/Gluconeogenesis
glutamine synthetase	GLNS	[c] : atp + glu-L + nh4 --> adp + gln-L + h + pi	0	Inf	1	0	Gmet_1352	1	1	GlnA	Amino Acid Metabolism
glutamine synthetase (uaagmda)	GLNSP3i	[c] : atp + nh4 + uaagmda --> adp + h + pi + uaagtmda	0	Inf	1	0	Gmet_1352	1	1	GlnA	Lipid & Cell Wall Metabolism
Glutaminyl-tRNA synthetase	GLNTRS	[c] : atp + gln-L + trnagln --> amp + glntrna + ppi	0	Inf	1	0	Gmet_0058	1	1	GlnS	Amino Acid Metabolism
glutamate 5-kinase	GLU5K	[c] : atp + glu-L --> adp + glu5p	0	Inf	1	0	Gmet_3198	1	1	ProB	Amino Acid Metabolism
glutaminyl-tRNA synthase (glutamine-hydrolysing)	GLUADT	[c] : atp + gln-L + glutrna + h2o --> adp + glntrna + glu-L + h + pi	0	Inf	1	0	Gmet_0075_OR_Gmet_0076_OR_Gmet_0073	1	1	GatABC	Amino Acid Metabolism
glutamate dehydrogenase (NAD)	GLUDx	[c] : glu-L + h2o + nad <==> akg + h + nadh + nh4	-Inf	Inf	1	0	Gmet_1728	1	1	GudA	Amino Acid Metabolism
glutamate dehydrogenase (NADP)	GLUDy	[c] : glu-L + h2o + nadp <==> akg + h + nadph + nh4	-Inf	Inf	1	0	Gmet_1186	1	1	GudB	Amino Acid Metabolism
glutamine phosphoribosyldiphosphate amidotransferase	GLUPRT	[c] : gln-L + h2o + prpp --> glu-L + ppi + pram	0	Inf	1	0	Gmet_1939	1	1	PurF	Nucleotide Metabolism
glutamate racemase	GLUR	[c] : glu-D <==> glu-L	-Inf	Inf	1	0	Gmet_0547	1	1	MurI	Amino Acid Metabolism
glutamate synthase (NADH2)	GLUSx	[c] : akg + gln-L + h + nadh --> (2) glu-L + nad	0	Inf	1	0	Gmet_1754_OR_Gmet_1755_OR_Gmet_1756_OR_Gmet_1753	1	1	GltAB	Amino Acid Metabolism
glutamate synthase (Ferredoxin)	GLUSz	[c] : akg + fdxr-4:2 + gln-L + (2) h <==> fdxo-4:2 + (2) glu-L	-Inf	Inf	1	0	Gmet_0147	1	1	GltF	Amino Acid Metabolism
glutamyl-tRNA reductase	GLUTRR	[c] : glutrna + h + nadph --> glu1sa + nadp + trnaglu	0	Inf	1	0	Gmet_3233	1	1	HemA	Vitamins & Cofactor Biosynthesis
Glutamyl-tRNA synthetase	GLUTRS	[c] : atp + glu-L + trnaglu --> amp + glutrna + ppi	0	Inf	1	0	Gmet_1780, Gmet_1736	1	1	GltX1, GltX2	Vitamins & Cofactor Biosynthesis
Glycolate dehydrogenase (NAD)	GLYCLTDx	[c] : glx + h + nadh --> glyclt + nad	0	Inf	1	0	Gmet_0106	1	1	YcdW	Glyoxylate Metabolism
Glycolate dehydrogenase (NADP)	GLYCLTDy	[c] : glx + h + nadph --> glyclt + nadp	0	Inf	1	0	Gmet_0106	1	1	YcdW	Glyoxylate Metabolism
Glycolate oxidase	GLYCTO2	[c] : glyclt + ubq8 --> glx + ubq8h2	0	Inf	1	0	Gmet_3245_OR_Gmet_3246	1	1	GlcDF	Alternate Carbon Metabolism
Glycolate oxidase	GLYCTO3	[c] : glyclt + mqn8 --> glx + mql8	0	Inf	1	0	Gmet_3245_OR_Gmet_3246	1	1	GlcDF	Alternate Carbon Metabolism
glycerate dehydrogenase	GLYD	[c] : h + hpyr + nadh <==> glyc-R + nad	-Inf	Inf	1	0	Gmet_2695	1	1	HprA	Central Metabolism
glycerol kinase	GLYK	[c] : atp + glyc --> adp + glyc3p + h	0	Inf	1	0	Gmet_1676	1	1	GlpK	Central Metabolism
Glycyl-tRNA synthetase	GLYTRS	[c] : atp + gly + trnagly --> amp + glytrna + ppi	0	Inf	1	0	Gmet_2942_OR_Gmet_2941	1	1	GlyQS	Amino Acid Metabolism
D-glycero-D-manno-hepose 1-phosphate adenyltransferase	GMHEPAT	[c] : atp + gmh1p + h --> adphep-D,D + ppi	0	Inf	1	0	Gmet_0922	1	1	RfaEec	Cell Envelope Biosynthesis
D-glycero-D-manno-heptose 7-phosphate kinase	GMHEPK	[c] : atp + gmh7p --> adp + gmh17bp + h	0	Inf	1	0	Gmet_0922	1	1	RfaEec	Cell Envelope Biosynthesis
GMP synthase (glutamine-hydrolysing)	GMPS2	[c] : atp + gln-L + h2o + xmp --> amp + glu-L + gmp + (2) h + ppi	0	Inf	1	0	Gmet_2292	1	1	GuaA	Nucleotide Metabolism
GDP-4-oxo-L-fucose reductase	GOFUCR	[c] : gdpofuc + h + nadph --> gdpfuc + nadp	0	Inf	1	0	Gmet_1312	1	1	Fcl	Lipid & Cell Wall Metabolism
geranyltranstransferase	GRTT	[c] : grdp + ipdp --> frdp + ppi	0	Inf	1	0	Gmet_1935	1	1	IspA	Other
L-glutamate 5-semialdehyde dehydrogenase	GSADH	[c] : glu5sa + h2o + nad --> glu-L + (2) h + nadh	0	Inf	1	0	Gmet_3512	1	1	PyrcPrd	Amino Acid Metabolism
GTP cyclohydrolase II	GTPCII	[c] : gtp + (3) h2o --> 25dhpp + for + (2) h + ppi	0	Inf	1	0	Gmet_1626	1	1	RibA	Vitamins & Cofactor Biosynthesis
GTP diphosphokinase	GTPDPK	[c] : atp + gtp --> amp + gdptp + h	0	Inf	1	0	Gmet_2325	1	1	RelA	Nucleotide Metabolism
guanine phosphoribosyltransferase	GUAPRTr	[c] : gua + prpp <==> gmp + ppi	-Inf	Inf	1	0	Gmet_2716	1	1	Hpt	Nucleotide Metabolism
glucuronate isomerase (D-glucuronate)	GUI1	[c] : glcur <==> fruur	-Inf	Inf	1	0	Gmet_0451	1	1	UxaC	Alternate Carbon Metabolism
glucuronate isomerase (D-galacturonate)	GUI2	[c] : galur <==> tagur	-Inf	Inf	1	0	Gmet_0451	1	1	UxaC	Alternate Carbon Metabolism
H2O transport via diffusion	H2Ot5	h2o[e] <==> h2o[c]	-Inf	Inf	1	0		1	1		Transport, Extracellular
hydrogen transport	H2td	h2[c] <==> h2[e]	-Inf	Inf	1	0		1	1		Transport
3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	HACD1	[c] : aacoa + h + nadh <==> 3hbycoa + nad	-Inf	Inf	1	0	Gmet_2269, Gmet_1717, Gmet_2203	1	1	MmgB2, YusL, MmgB1	Lipids
3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)	HACD2	[c] : 3ohcoa + h + nadh <==> 3hhcoa + nad	-Inf	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)	HACD3	[c] : 3oocoa + h + nadh <==> 3hocoa + nad	-Inf	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)	HACD4	[c] : 3odcoa + h + nadh <==> 3hdcoa + nad	-Inf	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)	HACD5	[c] : 3oddcoa + h + nadh <==> 3hddcoa + nad	-Inf	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	HACD6	[c] : 3otdcoa + h + nadh <==> 3htdcoa + nad	-Inf	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)	HACD7	[c] : 3ohdcoa + h + nadh <==> 3hhdcoa + nad	-Inf	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
3-hydroxyacyl-CoA dehydrogenase (2-Methylacetoacetyl-CoA)	HACD8	[c] : 3hmbcoa + nad <==> 2maacoa + h + nadh	-Inf	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
3-hydroxyacyl-CoA dehydrogenase	HACOADr	[c] : 3hmp + nad --> h + mmalsa-S + nadh	0	Inf	1	0	Gmet_2269	1	1	YusL	Lipids
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	HBUHL1	[c] : 3hbACP --> 2beACP + h2o	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ, FabAZ1	Fatty Acid Synthesis
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase	HBUR1	[c] : actACP + h + nadph --> 3hbACP + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG1, FabG2	Fatty Acid Synthesis
4-hydroxybenzoate octaprenyltransferase	HBZOPT	[c] : 4hbz + octdp --> 3ophb + ppi	0	Inf	1	0	Gmet_3393	1	1	UbiA	Other
homocitrate synthase	HCITS	[c] : accoa + akg + h2o --> coa + h + hcit	0	Inf	1	0	Gmet_0692	1	1	NifV	Amino Acid Metabolism
carbonate dehydratase (HCO3 equilibration reaction)	HCO3E	[c] : co2 + h2o <==> h + hco3	-Inf	Inf	1	0	Gmet_3517, Gmet_1242, Gmet_0774	1	1	CynT1, CynT2, CynT	Nonenzymatic Chemical Reactions
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	HDDHL5	[c] : 3hddACP --> 2tddACP + h2o	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ1, FabAZ	Fatty Acid Synthesis
3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	HDDR5	[c] : 3oxddACP + h + nadph --> 3hddACP + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG2, FabG1	Fatty Acid Synthesis
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	HDEHL4	[c] : 3hdeACP --> 2tdeACP + h2o	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ1, FabAZ	Fatty Acid Synthesis
(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	HDER4	[c] : 3oxdeACP + h + nadph --> 3hdeACP + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG1, FabG2	Fatty Acid Synthesis
hydrogen dehydrogenase	HDH	[c] : h2 + nad <==> h + nadh	-Inf	Inf	1	0	Gmet_1111_OR_Gmet_1109_OR_Gmet_1110_OR_Gmet_1113_OR_Gmet_1112	1	1	Hox	Energy Metabolism
Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA  C-acyltransferase	HDMAT7	[c] : nad + palmACP <==> h + hdeACP + nadh	-Inf	Inf	1	0	Gmet_2558	1	1	FabI	Fatty Acid Synthesis
Hexanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase	HEMAT2	[c] : 2theACP + h + nadh --> hexACP + nad	0	Inf	1	0	Gmet_2558	1	1	FabI	Fatty Acid Synthesis
Heme O synthase	HEMEOS	[c] : frdp + h2o + pheme --> h + hemeO + ppi	0	Inf	1	0	Gmet_0253	1	1	CyoE	Cofactor and Prosthetic Group Biosynthesis
trans-heptaprenyltranstransferase	HEPTT	[c] : hepdp + ipdp --> octdp + ppi	0	Inf	1	0	Gmet_2455	1	1	IspB	Lipid & Cell Wall Metabolism
hexanesulfonate transport via ABC system	HEXSabc	atp[c] + h2o[c] + hexs[e] --> adp[c] + h[c] + hexs[c] + pi[c]	0	Inf	1	0	Gmet_1899, Gmet_1901, Gmet_1900, Gmet_0998, Gmet_0997, Gmet_0996	1	1	SsuC1+SsuA1+SsuB1, SsuA+SsuC+SsuB	Transport
trans-hexaprenyltranstransferase	HEXTT	[c] : hexdp + ipdp --> hepdp + ppi	0	Inf	1	0	Gmet_2455	1	1	IspB	Lipid & Cell Wall Metabolism
mercury(II) reductase	HGR	[c] : hg2 + nadph <==> h + hg0 + nadp	-Inf	Inf	1	0	Gmet_0177	1	1	MerA	Central Metabolism
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	HHDHL7	[c] : 3hpaACP --> h2o + hdeACP	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ, FabAZ1	Fatty Acid Synthesis
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	HHDR7	[c] : 3oxhdACP + h + nadph --> 3hpaACP + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG1, FabG2	Fatty Acid Synthesis
(3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	HHYHL2	[c] : 3hhACP --> 2theACP + h2o	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ, FabAZ1	Fatty Acid Synthesis
(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	HHYR2	[c] : 3oxhACP + h + nadph --> 3hhACP + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG1, FabG2	Fatty Acid Synthesis
histidinol dehydrogenase	HISTD	[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh	0	Inf	1	0	Gmet_0384	1	1	HisD	Amino Acid Metabolism
histidinol-phosphatase	HISTP	[c] : h2o + hisp --> histd + pi	0	Inf	1	0	Gmet_0923	1	1	HisJ	Amino Acid Metabolism
Histidyl-tRNA synthetase	HISTRS	[c] : atp + his-L + trnahis --> amp + histrna + ppi	0	Inf	1	0	Gmet_3259, Gmet_1913	1	1	HisS, HisS2	Amino Acid Metabolism
hydroxymethylbilane synthase	HMBS	[c] : h2o + (4) ppbng --> hmbil + (4) nh4	0	Inf	1	0	Gmet_3234	1	1	HemC	Cofactor and Prosthetic Group Biosynthesis
hydroxymethylglutaryl-CoA lyase	HMGL	[c] : hmgcoa --> acac + accoa	0	Inf	1	0	Gmet_3293	1	1	YngG	Lipids
hydroxymethylpyrimidine kinase (ATP)	HMPK1	[c] : 4ahmmp + atp --> 4ampm + adp + h	0	Inf	1	0	Gmet_2909	1	1	ThiD	Vitamins & Cofactor Biosynthesis
hydroxymethylpyrimidine kinase (CTP)	HMPK2	[c] : 4ahmmp + ctp --> 4ampm + cdp + h	0	Inf	1	0	Gmet_2909	1	1	ThiD	Vitamins & Cofactor Biosynthesis
hydroxymethylpyrimidine kinase (UTP)	HMPK3	[c] : 4ahmmp + utp --> 4ampm + h + udp	0	Inf	1	0	Gmet_2909	1	1	ThiD	Vitamins & Cofactor Biosynthesis
hydroxymethylpyrimidine kinase (GTP)	HMPK4	[c] : 4ahmmp + gtp --> 4ampm + gdp + h	0	Inf	1	0	Gmet_2909	1	1	ThiD	Vitamins & Cofactor Biosynthesis
2-[hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase	HMPSCD	[c] : hmpscoa + nad <==> bsuccoa + h + nadh	-Inf	Inf	1	0	Gmet_1530_OR_Gmet_1531	1	1	BbsCD	Aromatic Compound degradation
6-hydroxycyclohex-1-ene-1-carbonyl CoA dehydrogenase	HOCCD	[c] : 6hch1eccoa + nad <==> 6occhcoa + h + nadh	-Inf	Inf	1	0	Gmet_2151	1	1	Had	Aromatic Compound degradation
((3R)-3-Hydroxybutanoyl-[acyl-carrier-protein] hydro-lyase	HOCHL3	[c] : 3hocACP --> 2toceACP + h2o	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ, FabAZ1	Fatty Acid Synthesis
(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	HOCR3	[c] : 3oxocACP + h + nadph --> 3hocACP + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG2, FabG1	Fatty Acid Synthesis
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein] hydro-lyase	HODHL8	[c] : 3hocdacp --> 2tocdACP + h2o	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ1, FabAZ	Fatty Acid Synthesis
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	HODR8	[c] : 3oxocdacp + h + nadph --> 3hocdacp + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG2, FabG1	Fatty Acid Synthesis
3-hydroxy-1-pyrroline-5-carboxylate dehydrogenase	HP5CD	[c] : 1p3h5c + (2) h2o + nad --> 4hglu + h + nadh	0	Inf	1	0	Gmet_3512	1	1	PyrcPrd	Amino Acid Metabolism
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	HPPK	[c] : 2ahhmp + atp --> 2ahhmd + amp + h	0	Inf	1	0	Gmet_0495	1	1	FolK	Vitamins & Cofactor Biosynthesis
hydroxypyruvate reductase	HPYRRx	[c] : h + hpyr + nadh --> glyc-R + nad	0	Inf	1	0	Gmet_0106	1	1	YcdW	Alternate Carbon Metabolism
hydroxypyruvate reductase	HPYRRy	[c] : h + hpyr + nadph --> glyc-R + nadp	0	Inf	1	0	Gmet_0106	1	1	YcdW	Alternate Carbon Metabolism
Acetyl-CoA:L-homoserine O-acetyltransferase	HSAT	[c] : accoa + hom-L <==> achms + coa	-Inf	Inf	1	0	Gmet_2783	1	1	MetA1	Amino Acid Metabolism
homoserine dehydrogenase (NADPH)	HSDy	[c] : hom-L + nadp <==> aspsa + h + nadph	-Inf	Inf	1	0	Gmet_1629	1	1	Hom	Amino Acid Metabolism
homoserine kinase	HSK	[c] : atp + hom-L --> adp + h + phom	0	Inf	1	0		1	1		Amino Acid Metabolism
histidinol-phosphate transaminase	HSTPT	[c] : glu-L + imacp --> akg + h + hisp	0	Inf	1	0	Gmet_0385	1	1	HisC	Amino Acid Metabolism
(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	HTDHL6	[c] : 3htdACP --> h2o + tdeACP	0	Inf	1	0	Gmet_1697, Gmet_2354	1	1	FabAZ, FabAZ1	Fatty Acid Synthesis
3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	HTDR6	[c] : 3oxtdACP + h + nadph --> 3htdACP + nadp	0	Inf	1	0	Gmet_1694, Gmet_1601	1	1	FabG2, FabG1	Fatty Acid Synthesis
hypoxanthine phosphoribosyltransferase (Hypoxanthine)	HXPRT	[c] : hxan + prpp --> imp + ppi	0	Inf	1	0	Gmet_2716	1	1	Hpt	Nucleotide Metabolism
isocitrate dehydrogenase (NADP)	ICDHy	[c] : icit + nadp <==> akg + co2 + nadph	-Inf	Inf	1	0	Gmet_1359	1	1	Icd	Central Metabolism
Isochorismate Synthase	ICHORSi	[c] : chor --> ichor	0	Inf	1	0		1	1		Cofactor and Prosthetic Group Biosynthesis
isochorismatase	ICHORT	[c] : h2o + ichor --> 23ddhb + pyr	0	Inf	1	0	Gmet_2952, Gmet_2564	1	1	EntB1, EntB	Vitamins & Cofactor Biosynthesis
Imidazole-glycerol-3-phosphate synthase	IG3PS	[c] : gln-L + prlp --> aicar + eig3p + glu-L + (2) h	0	Inf	1	0	Gmet_0387_OR_Gmet_0389	1	1	HisF	Amino Acid Metabolism
imidazoleglycerol-phosphate dehydratase	IGPDH	[c] : eig3p + h --> h2o + imacp	0	Inf	1	0	Gmet_0386	1	1	HisB	Amino Acid Metabolism
indole-3-glycerol-phosphate synthase	IGPS	[c] : 2cpr5p + h --> 3ig3p + co2 + h2o	0	Inf	1	0	Gmet_2494	1	1	TrpC	Amino Acid Metabolism
L-isoleucine transport via ABC system	ILEabc	atp[c] + h2o[c] + ile-L[e] --> adp[c] + h[c] + ile-L[c] + pi[c]	0	Inf	1	0	Gmet_1823_OR_Gmet_1822_OR_Gmet_1819_OR_Gmet_1821_OR_Gmet_1820	1	1	AzlCD	Transport
isoleucine transaminase	ILETA	[c] : akg + ile-L <==> 3mop + glu-L	-Inf	Inf	1	0	Gmet_2853	1	1	IlvE	Amino Acid Metabolism
Isoleucyl-tRNA synthetase	ILETRS	[c] : atp + ile-L + trnaile --> amp + iletrna + ppi	0	Inf	1	0	Gmet_0351	1	1	IleS	Amino Acid Metabolism
IMP cyclohydrolase	IMPC	[c] : h2o + imp <==> fprica	-Inf	Inf	1	0	Gmet_2905	1	1	PurH	Nucleotide Metabolism
IMP dehydrogenase	IMPD	[c] : h2o + imp + nad --> h + nadh + xmp	0	Inf	1	0	Gmet_2293	1	1	GuaB	Nucleotide Metabolism
indolepyruvate ferredoxin oxidoreductase	IOR	[c] : coa + (2) fdox + indpyr <==> co2 + (2) fdred + h + indaccoa	-Inf	Inf	1	0	Gmet_0949_OR_Gmet_0948_AND_ Gmet_1827_OR_Gmet_1826	1	1	IorAB1, IorAB2	Tyrosine, Tryptophan, and Phenylalanine Metabolism
indolepyruvate ferredoxin oxidoreductase (phenylpyvurate)	IOR2	[c] : coa + (2) fdox + phpyr <==> co2 + (2) fdred + h + phaccoa	-Inf	Inf	1	0	Gmet_0949_OR_Gmet_0948_AND_ Gmet_1827_OR_Gmet_1826	1	1	IorAB1, IorAB2	Tyrosine, Tryptophan, and Phenylalanine Metabolism
indolepyruvate ferredoxin oxidoreductase (hydroxyphenylpyvurate)	IOR3	[c] : 34hpp + coa + (2) fdox <==> 4hphaccoa + co2 + (2) fdred + h	-Inf	Inf	1	0	Gmet_0949_OR_Gmet_0948_AND_ Gmet_1827_OR_Gmet_1826	1	1	IorAB1, IorAB2	Tyrosine, Tryptophan, and Phenylalanine Metabolism
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	IPDPS	[c] : h + h2mb4p + nadh --> h2o + ipdp + nad	0	Inf	1	0	Gmet_0866	1	1	LytB	Cofactor and Prosthetic Group Biosynthesis
